id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1221386755028463616,1221386755028463616,2020-01-26 10:57:49 UTC,2020-01-26,10:57:49,+0000,821675328661782528,nextmove_de,nextmove,,#Daimler-Betriebsrat gibt @Tesla Mitschuld an Batteriemangel. Fakt ist: Ex-CEO Dietmar #Zetsche hat die strategische Bedeutung der Zelle nicht erkannt. 2021will er   Aufsichtsratschef werden. Zum Glück werden das die chinesischen Großaktionäre verhindern.   https://t.co/yEzZnsz7xU,de,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",['https://teslamag.de/news/betriebsrat-tesla-ist-mitschuld-an-batteriemangel-fuer-mercedes-elektroauto-eqc-26661'],[],23,42,185,"['daimler', 'zetsche']",[],https://twitter.com/nextmove_de/status/1221386755028463616,False,,0,,,,,,,,[],,,,
1221385133166616576,1221385133166616576,2020-01-26 10:51:22 UTC,2020-01-26,10:51:22,+0000,1107878239656128512,lynnmubiru,Lynn 🌼💫,,"Iam going to become a lady mechanic  Dealing in only  ......Tesla's , Ghosts( Rolls Royce) Benz's, Range rover's, Hummer's,    My customers I see you😉😉",en,[],[],[],6,9,87,[],[],https://twitter.com/LynnMubiru/status/1221385133166616576,False,,0,,,,,,,,[],,,,
1221384676465676289,1221384676465676289,2020-01-26 10:49:33 UTC,2020-01-26,10:49:33,+0000,258602317,kimpaquette,Kim Paquette 💫🦄 🇺🇦 🕊,,#EV charging at work and all are #model3 🥰 #Tesla  https://t.co/94t9KTmzFH,en,[],[],['https://pbs.twimg.com/media/EPM64xpWoAAuEU7.jpg'],7,10,203,"['ev', 'model3', 'tesla']",[],https://twitter.com/kimpaquette/status/1221384676465676289,False,,1,https://pbs.twimg.com/media/EPM64xpWoAAuEU7.jpg,,,,,,,[],,,,
1221375585563357185,1221375585563357185,2020-01-26 10:13:26 UTC,2020-01-26,10:13:26,+0000,733273843,stefanolix,stefanolix,,"Die Journalisten, die in der vergangenen Woche schrieben »#Tesla ist mehr wert als #VW«: Wo waren die während der #Dotcom-Blase?",de,[],[],[],11,10,84,"['tesla', 'vw', 'dotcom']",[],https://twitter.com/stefanolix/status/1221375585563357185,False,,0,,,,,,,,[],,,,
1221371988993658881,1221371988993658881,2020-01-26 09:59:08 UTC,2020-01-26,09:59:08,+0000,998140573008695296,28delayslater,🇺🇦 🦊 Earl of FrunkPuppy 🇺🇦,,I had like... 19 followers when I got my car. Rob was nice enough to say congrats. 6 people liked this. 😂   I had no idea at the time how different and better my car would be over time (without HW3!) #Tesla #Model3,en,[],[],[],4,3,58,"['tesla', 'model3']",[],https://twitter.com/28delayslater/status/1221371988993658881,False,https://twitter.com/28delayslater/status/1001639504640446465,0,,,,,,,,[],,,,
1221353859777552390,1221353859777552390,2020-01-26 08:47:06 UTC,2020-01-26,08:47:06,+0000,1195032280915480577,gf4tesla,Gigafactory Berlin-Brandenburg 🇪🇺🇩🇪,,"09:30 EST #GigaBerlin Controlled blasting of the aircraft Unexploded ordnance.💣 All access roads to Tesla Forest closed, police, fire department on site, no closer approach,🤔   "" being watched by the police ""😯  https://t.co/eceRgZoVoT",en,[],[],[],5,19,198,['gigaberlin'],[],https://twitter.com/Gf4Tesla/status/1221353859777552390,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1221353304787243008/pu/img/dBj3pEGcGvOYakxk.jpg,,,,,,,[],,,,
1221345800283967488,1221345800283967488,2020-01-26 08:15:04 UTC,2020-01-26,08:15:04,+0000,1308211178,teslarati,TESLARATI,,Tesla Giga Berlin Update: Roads closed around build site for blasting of WW II bombs  https://t.co/FKMPzMNtft,en,[],['https://www.teslarati.com/tesla-giga-berlin-detonate-ww2-bombs-ammunition/'],[],8,34,302,[],[],https://twitter.com/Teslarati/status/1221345800283967488,False,,0,,,,,,,,[],,,,
1221342928678768640,1221342928678768640,2020-01-26 08:03:40 UTC,2020-01-26,08:03:40,+0000,13502732,foone,foone,,"This book has the weirdest misprint. You open it up and page one starts ""Nikola Tesla was born in Smiljan, Croatia, in 1858""  https://t.co/Q29RZLt3n7",en,[],[],['https://pbs.twimg.com/media/EPMU6nFUEAAsg_b.jpg'],4,10,93,[],[],https://twitter.com/Foone/status/1221342928678768640,False,,1,https://pbs.twimg.com/media/EPMU6nFUEAAsg_b.jpg,,,,,,,[],,,,
1221339000310358017,1221339000310358017,2020-01-26 07:48:03 UTC,2020-01-26,07:48:03,+0000,1100520274200416256,tesmanian_com,Tesmanian.com,,Tesla Semi With Wrapped Windows And Lights Sighted In Transport Carrier at CA Freeway  https://t.co/g0IhzoulVg  https://t.co/95NNM9UXds,en,[],['http://dlvr.it/RNmNJ9'],['https://pbs.twimg.com/media/EPMRWSxUEAEMu1f.jpg'],2,28,133,[],[],https://twitter.com/Tesmanian_com/status/1221339000310358017,False,,1,https://pbs.twimg.com/media/EPMRWSxUEAEMu1f.jpg,,,,,,,[],,,,
1221336423246127104,1221336423246127104,2020-01-26 07:37:49 UTC,2020-01-26,07:37:49,+0000,985686123123949568,kristennetten,•K10•♥️🕊🇺🇦 🦊,,"Tesla adds a new color to it’s line up, what color is it?  https://t.co/hVANUW5wX9",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EPMO8a4UUAAAXXk.jpg'],67,19,249,[],[],https://twitter.com/Kristennetten/status/1221336423246127104,False,,1,https://pbs.twimg.com/tweet_video_thumb/EPMO8a4UUAAAXXk.jpg,,,,,,,[],,,,
