Date,date,Diff
2018-08-03,20180803,1.0
2018-08-06,20180806,-1.0
2018-08-07,20180807,-1.0
2018-08-08,20180808,1.0
2018-08-09,20180809,-1.0
2018-08-10,20180810,-1.0
2018-08-13,20180813,1.0
2018-08-14,20180814,1.0
2018-08-15,20180815,-1.0
2018-08-16,20180816,-1.0
2018-08-17,20180817,-1.0
2018-08-20,20180820,-1.0
2018-08-21,20180821,1.0
2018-08-22,20180822,1.0
2018-08-23,20180823,-1.0
2018-08-24,20180824,-1.0
2018-08-27,20180827,-1.0
2018-08-28,20180828,-1.0
2018-08-29,20180829,-1.0
2018-08-30,20180830,-1.0
2018-08-31,20180831,-1.0
2018-09-04,20180904,-1.0
2018-09-05,20180905,-1.0
2018-09-06,20180906,-1.0
2018-09-07,20180907,-1.0
2018-09-10,20180910,-1.0
2018-09-11,20180911,1.0
2018-09-12,20180912,-1.0
2018-09-13,20180913,1.0
2018-09-14,20180914,-1.0
2018-09-17,20180917,1.0
2018-09-18,20180918,1.0
2018-09-19,20180919,-1.0
2018-09-20,20180920,1.0
2018-09-21,20180921,-1.0
2018-09-24,20180924,1.0
2018-09-25,20180925,1.0
2018-09-26,20180926,1.0
2018-09-27,20180927,1.0
2018-09-28,20180928,-1.0
2018-10-01,20181001,-1.0
2018-10-02,20181002,1.0
2018-10-03,20181003,-1.0
2018-10-04,20181004,-1.0
2018-10-05,20181005,-1.0
2018-10-08,20181008,-1.0
2018-10-09,20181009,-1.0
2018-10-10,20181010,1.0
2018-10-11,20181011,-1.0
2018-10-12,20181012,1.0
2018-10-15,20181015,1.0
2018-10-16,20181016,1.0
2018-10-17,20181017,1.0
2018-10-18,20181018,-1.0
2018-10-19,20181019,-1.0
2018-10-22,20181022,-1.0
2018-10-23,20181023,1.0
2018-10-24,20181024,1.0
2018-10-25,20181025,1.0
2018-10-26,20181026,1.0
2018-10-29,20181029,1.0
2018-10-30,20181030,-1.0
2018-10-31,20181031,-1.0
2018-11-01,20181101,1.0
2018-11-02,20181102,1.0
2018-11-05,20181105,-1.0
2018-11-06,20181106,-1.0
2018-11-07,20181107,1.0
2018-11-08,20181108,1.0
2018-11-09,20181109,1.0
2018-11-12,20181112,-1.0
2018-11-13,20181113,-1.0
2018-11-14,20181114,1.0
2018-11-15,20181115,1.0
2018-11-16,20181116,1.0
2018-11-19,20181119,1.0
2018-11-20,20181120,-1.0
2018-11-21,20181121,-1.0
2018-11-23,20181123,-1.0
2018-11-26,20181126,-1.0
2018-11-27,20181127,1.0
2018-11-28,20181128,-1.0
2018-11-29,20181129,1.0
2018-11-30,20181130,-1.0
2018-12-03,20181203,1.0
2018-12-04,20181204,1.0
2018-12-06,20181206,-1.0
2018-12-07,20181207,1.0
2018-12-10,20181210,-1.0
2018-12-11,20181211,1.0
2018-12-12,20181212,1.0
2018-12-13,20181213,1.0
2018-12-14,20181214,1.0
2018-12-17,20181217,-1.0
2018-12-18,20181218,-1.0
2018-12-19,20181219,-1.0
2018-12-20,20181220,-1.0
2018-12-21,20181221,-1.0
2018-12-24,20181224,-1.0
2018-12-26,20181226,-1.0
2018-12-27,20181227,1.0
2018-12-28,20181228,-1.0
2018-12-31,20181231,1.0
2019-01-02,20190102,-1.0
2019-01-03,20190103,-1.0
2019-01-04,20190104,-1.0
2019-01-07,20190107,1.0
2019-01-08,20190108,1.0
2019-01-09,20190109,1.0
2019-01-10,20190110,-1.0
2019-01-11,20190111,1.0
2019-01-14,20190114,-1.0
2019-01-15,20190115,-1.0
2019-01-16,20190116,1.0
2019-01-17,20190117,1.0
2019-01-18,20190118,-1.0
2019-01-22,20190122,-1.0
2019-01-23,20190123,-1.0
2019-01-24,20190124,-1.0
2019-01-25,20190125,1.0
2019-01-28,20190128,1.0
2019-01-29,20190129,-1.0
2019-01-30,20190130,1.0
2019-01-31,20190131,1.0
2019-02-01,20190201,-1.0
2019-02-04,20190204,1.0
2019-02-05,20190205,1.0
2019-02-06,20190206,1.0
2019-02-07,20190207,-1.0
2019-02-08,20190208,-1.0
2019-02-11,20190211,1.0
2019-02-12,20190212,1.0
2019-02-13,20190213,-1.0
2019-02-14,20190214,-1.0
2019-02-15,20190215,-1.0
2019-02-19,20190219,1.0
2019-02-20,20190220,-1.0
2019-02-21,20190221,-1.0
2019-02-22,20190222,-1.0
2019-02-25,20190225,1.0
2019-02-26,20190226,-1.0
2019-02-27,20190227,1.0
2019-02-28,20190228,1.0
