,date,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,Diff
847,20190520,0.3052520809927624,0.48006171755,0.284931502589793,0.204130523465,0.2815035957106603,0.3476035789759739,0.4394298599081633,0.3035099090578028,0.2244763379520408,0.3120531528202531,0.3690229827754635,0.4371522101837211,0.3108791695519409,0.1875735994627907,0.2775007309853092,0.3190815980080217,0.5179719083492063,0.2945757123021426,0.1684311959269841,0.2536947892532815,0.3737824412358618,0.4183451671266667,0.3159424386247069,0.1840465918679999,0.29329896474978,-1.0
848,20190521,0.3503738616501562,0.4330738587333333,0.3032182341130512,0.2179800025911111,0.3097680099099057,0.3052520809927624,0.48006171755,0.284931502589793,0.204130523465,0.2815035957106603,0.3476035789759739,0.4394298599081633,0.3035099090578028,0.2244763379520408,0.3120531528202531,0.3690229827754635,0.4371522101837211,0.3108791695519409,0.1875735994627907,0.2775007309853092,0.3190815980080217,0.5179719083492063,0.2945757123021426,0.1684311959269841,0.2536947892532815,1.0
849,20190522,0.3404924888649029,0.4788206430958904,0.3112220561016663,0.1520374116657534,0.2629542532891317,0.3503738616501562,0.4330738587333333,0.3032182341130512,0.2179800025911111,0.3097680099099057,0.3052520809927624,0.48006171755,0.284931502589793,0.204130523465,0.2815035957106603,0.3476035789759739,0.4394298599081633,0.3035099090578028,0.2244763379520408,0.3120531528202531,0.3690229827754635,0.4371522101837211,0.3108791695519409,0.1875735994627907,0.2775007309853092,-1.0
850,20190523,0.3223852129644824,0.5024513718532111,0.3006384451469834,0.1904191602293576,0.2786486592550222,0.3404924888649029,0.4788206430958904,0.3112220561016663,0.1520374116657534,0.2629542532891317,0.3503738616501562,0.4330738587333333,0.3032182341130512,0.2179800025911111,0.3097680099099057,0.3052520809927624,0.48006171755,0.284931502589793,0.204130523465,0.2815035957106603,0.3476035789759739,0.4394298599081633,0.3035099090578028,0.2244763379520408,0.3120531528202531,-1.0
851,20190524,0.3327558582105718,0.4561289128362831,0.3071740206173111,0.2418753872893805,0.312475862794316,0.3223852129644824,0.5024513718532111,0.3006384451469834,0.1904191602293576,0.2786486592550222,0.3404924888649029,0.4788206430958904,0.3112220561016663,0.1520374116657534,0.2629542532891317,0.3503738616501562,0.4330738587333333,0.3032182341130512,0.2179800025911111,0.3097680099099057,0.3052520809927624,0.48006171755,0.284931502589793,0.204130523465,0.2815035957106603,-1.0
855,20190528,0.3824567977003256,0.4091720079086956,0.3036844629697287,0.163556245942029,0.2581327758060191,0.3629957401011069,0.3909088708406593,0.2833016177559483,0.1911932988648352,0.2930453597562484,0.3808566506133428,0.4375715729381443,0.3299599083963991,0.1804116255927834,0.2735108760344953,0.3469332510975242,0.4524146028532111,0.3027652374000719,0.201760390785321,0.293010071830012,0.3327558582105718,0.4561289128362831,0.3071740206173111,0.2418753872893805,0.312475862794316,-1.0
856,20190529,0.3726861215912346,0.4509343485662651,0.3284643317945578,0.1398994585385541,0.259829477602304,0.3824567977003256,0.4091720079086956,0.3036844629697287,0.163556245942029,0.2581327758060191,0.3629957401011069,0.3909088708406593,0.2833016177559483,0.1911932988648352,0.2930453597562484,0.3808566506133428,0.4375715729381443,0.3299599083963991,0.1804116255927834,0.2735108760344953,0.3469332510975242,0.4524146028532111,0.3027652374000719,0.201760390785321,0.293010071830012,-1.0
857,20190530,0.3674425058272807,0.4493214999078948,0.3140323845513265,0.1366107288223683,0.2357337046700383,0.3726861215912346,0.4509343485662651,0.3284643317945578,0.1398994585385541,0.259829477602304,0.3824567977003256,0.4091720079086956,0.3036844629697287,0.163556245942029,0.2581327758060191,0.3629957401011069,0.3909088708406593,0.2833016177559483,0.1911932988648352,0.2930453597562484,0.3808566506133428,0.4375715729381443,0.3299599083963991,0.1804116255927834,0.2735108760344953,1.0
858,20190531,0.3558081634133458,0.4469218446788991,0.295077742339314,0.1812409638284404,0.2633838106924626,0.3674425058272807,0.4493214999078948,0.3140323845513265,0.1366107288223683,0.2357337046700383,0.3726861215912346,0.4509343485662651,0.3284643317945578,0.1398994585385541,0.259829477602304,0.3824567977003256,0.4091720079086956,0.3036844629697287,0.163556245942029,0.2581327758060191,0.3629957401011069,0.3909088708406593,0.2833016177559483,0.1911932988648352,0.2930453597562484,-1.0
861,20190603,0.379306809121649,0.3886744983780488,0.310802206365028,0.1272251848060976,0.2451757364546163,0.3579794603443342,0.419865710555714,0.2839963633325205,0.1699530224685714,0.2520318681799887,0.3775748689739046,0.4026542894124998,0.3026015507815479,0.2096401033299999,0.2861159693507135,0.3558081634133458,0.4469218446788991,0.295077742339314,0.1812409638284404,0.2633838106924626,0.3674425058272807,0.4493214999078948,0.3140323845513265,0.1366107288223683,0.2357337046700383,-1.0
862,20190604,0.3662481795529139,0.4423933941747571,0.3170872033033909,0.1375139975446601,0.2447329989612509,0.379306809121649,0.3886744983780488,0.310802206365028,0.1272251848060976,0.2451757364546163,0.3579794603443342,0.419865710555714,0.2839963633325205,0.1699530224685714,0.2520318681799887,0.3775748689739046,0.4026542894124998,0.3026015507815479,0.2096401033299999,0.2861159693507135,0.3558081634133458,0.4469218446788991,0.295077742339314,0.1812409638284404,0.2633838106924626,1.0
863,20190605,0.3396053017603378,0.4674925662981652,0.3017656673248604,0.1805189083073395,0.2683288407683105,0.3662481795529139,0.4423933941747571,0.3170872033033909,0.1375139975446601,0.2447329989612509,0.379306809121649,0.3886744983780488,0.310802206365028,0.1272251848060976,0.2451757364546163,0.3579794603443342,0.419865710555714,0.2839963633325205,0.1699530224685714,0.2520318681799887,0.3775748689739046,0.4026542894124998,0.3026015507815479,0.2096401033299999,0.2861159693507135,1.0
864,20190606,0.3434931508286303,0.4231539020535714,0.2885387957723741,0.1701615801107143,0.2856962192935598,0.3396053017603378,0.4674925662981652,0.3017656673248604,0.1805189083073395,0.2683288407683105,0.3662481795529139,0.4423933941747571,0.3170872033033909,0.1375139975446601,0.2447329989612509,0.379306809121649,0.3886744983780488,0.310802206365028,0.1272251848060976,0.2451757364546163,0.3579794603443342,0.419865710555714,0.2839963633325205,0.1699530224685714,0.2520318681799887,1.0
867,20190610,0.3549802245987326,0.4702160644264707,0.324602481576264,0.0824587238514705,0.1976136808262656,0.3628047950702174,0.4086695381149425,0.2904342899934781,0.1689708619241378,0.2725787604853391,0.368474141472925,0.4505523193026317,0.3125053852380183,0.1335562370565789,0.2244790070733503,0.3434931508286303,0.4231539020535714,0.2885387957723741,0.1701615801107143,0.2856962192935598,0.3396053017603378,0.4674925662981652,0.3017656673248604,0.1805189083073395,0.2683288407683105,1.0
868,20190611,0.3508977426909197,0.4657138722840908,0.3018265772913966,0.1676783260840909,0.2507519106940404,0.3549802245987326,0.4702160644264707,0.324602481576264,0.0824587238514705,0.1976136808262656,0.3628047950702174,0.4086695381149425,0.2904342899934781,0.1689708619241378,0.2725787604853391,0.368474141472925,0.4505523193026317,0.3125053852380183,0.1335562370565789,0.2244790070733503,0.3434931508286303,0.4231539020535714,0.2885387957723741,0.1701615801107143,0.2856962192935598,1.0
869,20190612,0.3852298346230898,0.3682669815125,0.3002763498673781,0.1508835195149999,0.2534439917115249,0.3508977426909197,0.4657138722840908,0.3018265772913966,0.1676783260840909,0.2507519106940404,0.3549802245987326,0.4702160644264707,0.324602481576264,0.0824587238514705,0.1976136808262656,0.3628047950702174,0.4086695381149425,0.2904342899934781,0.1689708619241378,0.2725787604853391,0.368474141472925,0.4505523193026317,0.3125053852380183,0.1335562370565789,0.2244790070733503,-1.0
870,20190613,0.361423585668736,0.4173545538656487,0.3110934480518688,0.1527658597229006,0.2645118250288197,0.3852298346230898,0.3682669815125,0.3002763498673781,0.1508835195149999,0.2534439917115249,0.3508977426909197,0.4657138722840908,0.3018265772913966,0.1676783260840909,0.2507519106940404,0.3549802245987326,0.4702160644264707,0.324602481576264,0.0824587238514705,0.1976136808262656,0.3628047950702174,0.4086695381149425,0.2904342899934781,0.1689708619241378,0.2725787604853391,-1.0
