,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,pos_sd,neu_mean,neu_sd,neg_mean,neg_sd,Date,Diff
699,0.310280400518886,0.557554582142857,0.2759497495956227,0.0838929408428571,0.169989676684268,0.141060203132909,0.5741069365624998,0.2284048285631418,0.288093790790625,0.3111095361098269,0.2900212280492265,0.5046096000000001,0.2259732011479504,0.1335602137916666,0.1840848564891055,0.3188674858586449,0.53768495725,0.2766148080496871,0.115540052675,0.2072998451438837,0.3790418662643511,0.48674425169863,0.3201201203827085,0.1356572981520547,0.2171994518052775,0.3193573723676353,0.5531178746190478,0.2942305383902744,0.0841063888857142,0.1772873444359195,0.2840606290244931,0.528201620451613,0.2398649750103909,0.1931358714516129,0.2461525947275634,2016-01-14,-1.0
700,0.1441288787777368,0.6630947265217392,0.2125223108808735,0.1673458549130435,0.2507626922272353,0.310280400518886,0.557554582142857,0.2759497495956227,0.0838929408428571,0.169989676684268,0.141060203132909,0.5741069365624998,0.2284048285631418,0.288093790790625,0.3111095361098269,0.2900212280492265,0.5046096000000001,0.2259732011479504,0.1335602137916666,0.1840848564891055,0.3188674858586449,0.53768495725,0.2766148080496871,0.115540052675,0.2072998451438837,0.3790418662643511,0.48674425169863,0.3201201203827085,0.1356572981520547,0.2171994518052775,0.3193573723676353,0.5531178746190478,0.2942305383902744,0.0841063888857142,0.1772873444359195,2016-01-15,-1.0
704,0.1033741960120937,0.7732169345454545,0.0766209754402868,0.0511550068363636,0.0700126770092006,0.2724716159634516,0.5891015694,0.2625567449392058,0.19664540525,0.252842253139921,0.2319273435714817,0.6064004752083332,0.2349335689017685,0.1002025857708333,0.2128694804133067,0.176714861452031,0.6123459993333334,0.20456056029258,0.2356733104,0.2360461975055954,0.1441288787777368,0.6630947265217392,0.2125223108808735,0.1673458549130435,0.2507626922272353,0.310280400518886,0.557554582142857,0.2759497495956227,0.0838929408428571,0.169989676684268,0.141060203132909,0.5741069365624998,0.2284048285631418,0.288093790790625,0.3111095361098269,2016-01-19,1.0
705,0.285068112210131,0.5790693299999999,0.2661842093233717,0.041424674775,0.1123394659776935,0.1033741960120937,0.7732169345454545,0.0766209754402868,0.0511550068363636,0.0700126770092006,0.2724716159634516,0.5891015694,0.2625567449392058,0.19664540525,0.252842253139921,0.2319273435714817,0.6064004752083332,0.2349335689017685,0.1002025857708333,0.2128694804133067,0.176714861452031,0.6123459993333334,0.20456056029258,0.2356733104,0.2360461975055954,0.1441288787777368,0.6630947265217392,0.2125223108808735,0.1673458549130435,0.2507626922272353,0.310280400518886,0.557554582142857,0.2759497495956227,0.0838929408428571,0.169989676684268,2016-01-20,-1.0
706,0.1547967734147075,0.6809229418181817,0.1550864637288942,0.124613286790909,0.1693911546257586,0.285068112210131,0.5790693299999999,0.2661842093233717,0.041424674775,0.1123394659776935,0.1033741960120937,0.7732169345454545,0.0766209754402868,0.0511550068363636,0.0700126770092006,0.2724716159634516,0.5891015694,0.2625567449392058,0.19664540525,0.252842253139921,0.2319273435714817,0.6064004752083332,0.2349335689017685,0.1002025857708333,0.2128694804133067,0.176714861452031,0.6123459993333334,0.20456056029258,0.2356733104,0.2360461975055954,0.1441288787777368,0.6630947265217392,0.2125223108808735,0.1673458549130435,0.2507626922272353,2016-01-21,1.0
707,0.1705239041652661,0.6560785236999999,0.2377993468749406,0.1496141126933333,0.2637777701197396,0.1547967734147075,0.6809229418181817,0.1550864637288942,0.124613286790909,0.1693911546257586,0.285068112210131,0.5790693299999999,0.2661842093233717,0.041424674775,0.1123394659776935,0.1033741960120937,0.7732169345454545,0.0766209754402868,0.0511550068363636,0.0700126770092006,0.2724716159634516,0.5891015694,0.2625567449392058,0.19664540525,0.252842253139921,0.2319273435714817,0.6064004752083332,0.2349335689017685,0.1002025857708333,0.2128694804133067,0.176714861452031,0.6123459993333334,0.20456056029258,0.2356733104,0.2360461975055954,2016-01-22,1.0
710,0.2497263352170494,0.5390822315384616,0.21796315939899,0.0400919582615384,0.0833550449299045,0.2684631298380396,0.5847008508717949,0.259452846607989,0.0420555793615384,0.1199191624522796,0.2616763371723131,0.7766295083061223,0.260105879619315,0.0333627989632653,0.0833428044678159,0.1705239041652661,0.6560785236999999,0.2377993468749406,0.1496141126933333,0.2637777701197396,0.1547967734147075,0.6809229418181817,0.1550864637288942,0.124613286790909,0.1693911546257586,0.285068112210131,0.5790693299999999,0.2661842093233717,0.041424674775,0.1123394659776935,0.1033741960120937,0.7732169345454545,0.0766209754402868,0.0511550068363636,0.0700126770092006,2016-01-25,1.0
711,0.2650755903857519,0.6479343922222222,0.2527980933223265,0.0188742308666666,0.0252808011647374,0.2497263352170494,0.5390822315384616,0.21796315939899,0.0400919582615384,0.0833550449299045,0.2684631298380396,0.5847008508717949,0.259452846607989,0.0420555793615384,0.1199191624522796,0.2616763371723131,0.7766295083061223,0.260105879619315,0.0333627989632653,0.0833428044678159,0.1705239041652661,0.6560785236999999,0.2377993468749406,0.1496141126933333,0.2637777701197396,0.1547967734147075,0.6809229418181817,0.1550864637288942,0.124613286790909,0.1693911546257586,0.285068112210131,0.5790693299999999,0.2661842093233717,0.041424674775,0.1123394659776935,2016-01-26,-1.0
712,0.2867238975632412,0.5920823457575759,0.2751084860187941,0.1041448989272727,0.2002877331097481,0.2650755903857519,0.6479343922222222,0.2527980933223265,0.0188742308666666,0.0252808011647374,0.2497263352170494,0.5390822315384616,0.21796315939899,0.0400919582615384,0.0833550449299045,0.2684631298380396,0.5847008508717949,0.259452846607989,0.0420555793615384,0.1199191624522796,0.2616763371723131,0.7766295083061223,0.260105879619315,0.0333627989632653,0.0833428044678159,0.1705239041652661,0.6560785236999999,0.2377993468749406,0.1496141126933333,0.2637777701197396,0.1547967734147075,0.6809229418181817,0.1550864637288942,0.124613286790909,0.1693911546257586,2016-01-27,-1.0
713,0.2244843814864758,0.610201012,0.2219880050584702,0.01472786502,0.0081331714043916,0.2867238975632412,0.5920823457575759,0.2751084860187941,0.1041448989272727,0.2002877331097481,0.2650755903857519,0.6479343922222222,0.2527980933223265,0.0188742308666666,0.0252808011647374,0.2497263352170494,0.5390822315384616,0.21796315939899,0.0400919582615384,0.0833550449299045,0.2684631298380396,0.5847008508717949,0.259452846607989,0.0420555793615384,0.1199191624522796,0.2616763371723131,0.7766295083061223,0.260105879619315,0.0333627989632653,0.0833428044678159,0.1705239041652661,0.6560785236999999,0.2377993468749406,0.1496141126933333,0.2637777701197396,2016-01-28,-1.0
